STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,HUN,Hungary,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,LUX,Luxembourg,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,LUX,Luxembourg,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,LUX,Luxembourg,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,POL,Poland,Life satisfaction,0-10 scale,Young,Subjective well-being,2013
Current well-being by age,POL,Poland,Life satisfaction,0-10 scale,Young,Subjective well-being,2018
Current well-being by age,POL,Poland,Life satisfaction,0-10 scale,Young,Subjective well-being,2021
Current well-being by age,POL,Poland,Life satisfaction,0-10 scale,Young,Subjective well-being,2022
Current well-being by age,POL,Poland,Life satisfaction,0-10 scale,Young,Subjective well-being,2023
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2004
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2005
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2006
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2007
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2008
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2009
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2010
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2011
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2012
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2013
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2014
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2015
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2016
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2017
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2018
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2019
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2020
Current well-being by age,USA,United States,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2021
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2013
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2018
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2021
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2022
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2023
Current well-being by age,CHE,Switzerland,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2013
Current well-being by age,CHE,Switzerland,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2018
Current well-being by age,LVA,Latvia,Life satisfaction,0-10 scale,Young,Subjective well-being,2013
Current well-being by age,LVA,Latvia,Life satisfaction,0-10 scale,Young,Subjective well-being,2018
Current well-being by age,LVA,Latvia,Life satisfaction,0-10 scale,Young,Subjective well-being,2021
Current well-being by age,LVA,Latvia,Life satisfaction,0-10 scale,Young,Subjective well-being,2022
Current well-being by age,LVA,Latvia,Life satisfaction,0-10 scale,Young,Subjective well-being,2023
Current well-being by age,JPN,Japan,Adult literacy skills,Points,Young,Knowledge and skills,2012
Current well-being by age,KOR,Korea,Adult literacy skills,Points,Middle-aged,Knowledge and skills,2012
Current well-being by age,SVN,Slovenia,Adult numeracy skills,Points,Middle-aged,Knowledge and skills,2014
Current well-being by age,GBR,United Kingdom,Satisfaction with personal relationships,0-10 scale,Young,Social connections,2013
Current well-being by age,GBR,United Kingdom,Satisfaction with personal relationships,0-10 scale,Young,Social connections,2018
Current well-being by age,IRL,Ireland,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2013
Current well-being by age,IRL,Ireland,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2018
Current well-being by age,IRL,Ireland,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2022
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2010
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2011
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2014
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,POL,Poland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2018
